,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,1960,1,El Paso,Marty Robbins,,0.157,0.153,0.3568,joy,Male,"['cowboy western', 'nashville sound']"
1,1960,2,Why,Frankie Avalon,,0.12,0.133,-0.9944,anger,Male,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2,1960,3,The Big Hurt,Miss Toni Fisher,,0.022,0.106,-0.875,anticipation,Female,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
3,1960,4,Running Bear,Johnny Preston,,0.365,0.025,0.999,joy,Male,['nashville sound']
4,1960,5,Way Down Yonder In New Orleans,Freddie Cannon,,0.21,0.045,0.9822,joy,,"['brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
5,1960,6,Heartaches By The Number,Guy Mitchell,,0.27,0.126,0.9907,joy,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'rock-and-roll']"
6,1960,7,It's Time To Cry,Paul Anka,,0.03,0.226,-0.9698,sadness,Male,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
7,1960,8,Among My Souvenirs,Connie Francis,,0.071,0.069,0.0516,sadness,Female,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
8,1960,9,Pretty Blue Eyes,Steve Lawrence,,0.341,0.0,0.9952,sadness,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
9,1960,10,"Go, Jimmy, Go",Jimmy Clanton,,0.095,0.008,0.9499,anticipation,Male,"['adult standards', 'brill building pop', 'deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'swamp pop']"
10,1960,11,We Got Love,Bobby Rydell,,0.387,0.021,0.9998,joy,Male,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
11,1960,12,Mack The Knife,Bobby Darin,,0.045,0.054,0.2359,anticipation,Male,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
12,1960,13,The Village Of St. Bernadette,Andy Williams,,0.188,0.0,0.9692,joy,Male,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
13,1960,14,Uh! Oh! Part 2,The Nutty Squirrels,,0.273,0.102,0.9835,anger,,['partyschlager']
14,1960,15,Sandy,Larry Hall,,0.196,0.105,0.9981,trust,Male,['meme rap']
15,1960,16,Hound Dog Man,Fabian,,0.237,0.0,0.993,joy,Male,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']"
