,Unnamed: 0,date,rank,song,artist,gender,genre,genres
0,0,2021,1,Easy On Me,Adele,,,"['british soul', 'pop', 'pop soul', 'uk pop']"
1,1,2021,2,Stay,The Kid LAROI & Justin Bieber,,,['australian hip hop']
2,2,2021,3,Industry Baby,Lil Nas X & Jack Harlow,,,"['lgbtq+ hip hop', 'pop']"
3,3,2021,4,Fancy Like,Walker Hayes,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
4,4,2021,5,Bad Habits,Ed Sheeran,,,"['pop', 'uk pop']"
5,5,2021,6,Way 2 Sexy,Drake Featuring Future & Young Thug,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
6,6,2021,7,Shivers,Ed Sheeran,,,"['pop', 'uk pop']"
7,7,2021,8,Good 4 U,Olivia Rodrigo,,,['pop']
8,8,2021,9,Need To Know,Doja Cat,,,"['dance pop', 'pop']"
9,9,2021,10,Levitating,Dua Lipa,,,"['dance pop', 'pop', 'uk pop']"
10,10,2021,11,Essence,Wizkid Featuring Justin Bieber & Tems,,,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']"
11,11,2021,12,Kiss Me More,Doja Cat Featuring SZA,,,"['dance pop', 'pop']"
12,12,2021,13,Heat Waves,Glass Animals,,,"['gauze pop', 'indietronica', 'shiver pop']"
13,13,2021,14,Beggin',Maneskin,,,"['indie rock italiano', 'italian pop']"
14,14,2021,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,,,"['glam rock', 'mellow gold', 'piano rock']"
15,15,2021,16,You Right,Doja Cat & The Weeknd,,,"['dance pop', 'pop']"
16,16,2021,17,Save Your Tears,The Weeknd & Ariana Grande,,,"['canadian contemporary r&b', 'canadian pop', 'pop']"
17,17,2021,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,,,"['contemporary country', 'country', 'country road']"
18,18,2021,19,Traitor,Olivia Rodrigo,,,['pop']
19,19,2021,20,My Universe,Coldplay x BTS,,,"['permanent wave', 'pop']"
20,20,2021,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",,,['florida rap']
21,21,2021,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
22,22,2021,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,,,['modern alternative pop']
23,23,2021,24,Montero (Call Me By Your Name),Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
24,24,2021,25,Chasing After You,Ryan Hurd With Maren Morris,,,"['contemporary country', 'country pop']"
25,25,2021,26,Girls Want Girls,Drake Featuring Lil Baby,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
26,26,2021,27,Moth To A Flame,Swedish House Mafia & The Weeknd,,,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']"
27,27,2021,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,,,[]
